(BCM)	1
(BCN)	2
(BCT)	1
(BDJ)	2
(BDO)	3
(BDS)	1
(BED)	1
(BEL)	2
(BEN)	4
(BEY)	4
(BFF)	1
(BFI)	1
(BFN)	1
(BGA)	1
(BGF)	2
(BGI)	1
(BGO)	1
(BGY)	1
(BHE)	5
(BHM)	1
(BHX)	1
(BIH)	1
(BIL)	3
(BIO)	1
(BIS)	1
(BJC)	1
(BKA)	1
(BKK)	4
(BKO)	1
(BKT)	1
(BKV)	1
(BKY)	1
(BLA)	1
(BLEU)	2
(BLF)During	1
(BLR)	3
(BMA)	1
(BMT)	1
(BNC)	1
(BND)	2
(BNE)	3
(BNN)	2
(BNS)	2
(BOG)	9
(BOG)Hijackers	1
(BOM)	1
(BOO)Destroyed	1
(BOO)Flight	1
(BOS)	5
(BPM)	2
(BPN)	1
(BQH)	1
(BQN)	1
(BRS)	1
(BRU)	9
(BSB)	1
(BSB)A	1
(BSB)An	1
(BSG)	1
(BSL)	1
(BSR)	4
(BTH)	1
(BTL)	1
(BTM)	1
(BTP)	1
(BTR)	1
(BTV)	1
(BUD)	3
(BUR)	2
(BUT)	1
(BUX)	2
(BVH)	1
(BVY)	2
(BWI)	3
(BWK)	1
(BWU)	1
(BZN)	1
(BZV)	3
(BZV)The	1
(Barcelona-Palma	1
(Bogotá	1
(Bombay)	3
(Bombay)-Bahrain-Beirut-London	1
(Bombay)Damaged	1
(Brake	2
(C-FWAX)	1
(C-GYPZ)	1
(CAA)	1
(CAC)	1
(CAI)	2
(CAJ)	2
(CAJ)The	1
(CAN)	3
(CAP)	1
(CB)	2
(CBG)	1
(CBO)	1
(CCB)	1
(CCCP-65856)	1
(CCCP-76679	2
(CCCP-L4279)	1
(CCS)	9
(CCU)	1
(CCU)Alitalia	1
(CDB)	1
(CDG)	2
(CDG)Landed	1
(CEA)	1
(CEK)	2
(CEQ)	1
(CF-SHN)	1
(CFF)	2
(CFF)Crashed	1
(CFI)	2
(CFS)	1
(CFX4)	1
(CG)	5
(CGF)	1
(CGH)	5
(CGK)	5
(CGN)	2
(CGO)	1
(CGR)	1
(CHA)	1
(CHC)	1
(CIA)	8
(CIA)Gear	1
(CIJ)	1
(CISF)The	1
(CIX)	1
(CIZ)	1
(CJU)	1
(CKY)	2
(CLD)	1
(CLE)	2
(CLO)	2
(CLT)	3
(CMB)	2
(CMF)	1
(CMH)	4
(CMW)	1
(CNG)	2
(CNO)	1
(CNS)	5
(COM)	2
(COMAT))	1
(COR)	1
(COS)	3
(COU)	1
(CPB)	1
(CPH)	1
(CPR)	1
(CPT)UTAir	1
(CPT8810)	1
(CR-TAG)	1
(CRD)	2
(CRE)	1
(CRL)	1
(CRW)Southwest	1
(CRZ)	1
(CSD)	2
(CSX)	1
(CTG)	2
(CTH)	1
(CTM)	1
(CTN)	1
(CTT)	1
(CU	1
(CUC)	1
(CUE)	1
(CUN)	1
(CVG)	1
(CVR)	2
(CVT)	2
(CXB)	1
(CYHZ)	1
(CYOW)	1
(CYQU)	1
(CYS)	1
(CYXJ)	1
(Call	1
(Canada)	1
(Canada)Damaged	1
(Canadian	1
(Capt	5
(Cat5)	1
(Cerro	1
(Chaun	1
(Chernovtsy)-Bucharest-Thessaloniki	1
(Col	1
(Colombian	2
(Continuous	1
(Cordoba-Buenos	1
(Czech	1
(D-AIRT)	2
(D-NY)	2
(DAC)	2
(DAC)An	1
(DAD)	1
(DAR)	3
(DAY)	1
(DB+RC/6631)	1
(DBO)	1
(DC-3)	1
(DC-4)	2
(DC-6)	1
(DCA)	3
(DEB)	1
(DEC)	1
(DEL)	6
(DEN)	4
(DET)	1
(DEW)	2
(DF)	1
(DFW)	7
(DHA)	1
(DJC)	8
(DJJ)	1
(DLA)	3
(DLD)	1
(DLG)	2
(DLL)	1
(DLN)	1
(DME)	1
(DNA)	1
(DOD)	1
(DOK)	1
(DOV)	3
(DPKO)	1
(DPS)	2
(DQ-AFP)	1
(DRI)A	1
(DRW)	4
(DTS)	1
(DTW)	1
(DUB)	2
(DVO)	3
(DVS)	1
(DXB)	5
(DYS)	1
(Defence	1
(Dhiguvaru	1
(Distant	1
(Donald	2
(EAL)	1
(EAR)	1
(EBB)	2
(EC-AEJ)	1
(ECL)	1
(EDE)	1
(EDF)	2
(EDI)	1
(EGE)	1
(EGE)A	1
(EGO)	2
(EGT)	2
(EI-BZF)	2
(EIL)	1
(EIN)	1
(EJA)	1
(EK407)	1
(ELINT)	1
(ELK)A	1
(ELN)	1
(ELP)	3
(EMA)	2
(EOH)	2
(EP-ANA	1
(EPL)	3
(EPR)	2
(ERS)	1
(ERW)	1
(ESA)	1
(ESB)	3
(ETOU)On	1
(EVN)	2
(EVV)	1
(EW-78826)	1
(EWR)	9
(EWR)Damaged	1
(EYP)	1
(EZE)	3
(Ecuador)	1
(F-BDEV	1
(F-CGXB)	1
(F	1
(FAF)	2
(FAI)	1
(FAI)The	1
(FANT)	2
(FCO)	5
(FCU)	1
(FDR)	2
(FEG)	2
(FIH)	6
(FIH)A	1
(FIT)	1
(FKI)	3
(FL)	1
(FL142)	1
(FLA)	1
(FLG)	1
(FLL)	1
(FMGC's)	2
(FMN)	1
(FNC)	1
(FNT)	2
(FOC)	2
(FOG)	1
(FRA)	1
(FRF)	1
(FRG)	1
(FRL)	1
(FRS)The	1
(FRU)	2
(FSS)	4
(FUK)	2
(FWA)	1
(FWH)	3
(FXE)	1
(February	1
(Fiji	1
(Filitheyo)	1
(Flight	3
(France)	1
(G-AGWL)	1
(G-APIM)On	1
(GAL)	1
(GATT)	1
(GBZ)	1
(GCA)	1
(GDL)	1
(GDT)	1
(GDX)	1
(GEG)	1
(GEN)	1
(GFA)	1
(GFK)	1
(GGT)	1
(GGW)	1
(GHB)	1
(GIG)	2
(GIS)	1
(GKA)	1
(GLA)	1
(GLK)	2
(GMB)	1
